2026-01-17 at 22:11:20 | INFO | Бот запущен
2026-01-17 at 22:12:29 | INFO | Бот запущен
2026-01-17 at 22:15:01 | INFO | Бот запущен
2026-01-17 at 22:15:06 | INFO | Бот успешно запущен
2026-01-17 at 22:16:55 | INFO | Бот запущен
2026-01-17 at 22:16:58 | INFO | Бот успешно запущен
2026-01-17 at 22:18:16 | INFO | Бот запущен
2026-01-17 at 22:18:18 | INFO | Бот успешно запущен
2026-01-17 at 22:19:02 | INFO | Бот запущен
2026-01-17 at 22:19:05 | INFO | Бот успешно запущен
2026-01-17 at 22:19:26 | INFO | Бот запущен
2026-01-17 at 22:19:27 | INFO | Бот успешно запущен
2026-01-17 at 22:23:34 | INFO | Бот запущен
2026-01-17 at 22:23:36 | INFO | Бот успешно запущен
2026-01-17 at 22:23:37 | SUCCESS | Вебхук установлен: https://oca9g2-2a03-d000-1578-2fdc-7f7-5fa8-6cfb-b13b.ru.tuna.am/webhook
2026-01-17 at 22:23:37 | INFO | Бот остановлен...
2026-01-17 at 22:25:47 | INFO | Бот запущен
2026-01-17 at 22:25:49 | INFO | Бот успешно запущен
2026-01-17 at 22:25:49 | SUCCESS | Вебхук установлен: https://f695f7-2a03-d000-1578-2fdc-7f7-5fa8-6cfb-b13b.ru.tuna.am/webhook
2026-01-17 at 22:25:49 | INFO | Бот остановлен...
2026-01-17 at 22:27:36 | INFO | Бот запущен
2026-01-17 at 22:27:38 | INFO | Бот успешно запущен
2026-01-17 at 22:27:38 | SUCCESS | Вебхук установлен: https://f695f7-2a03-d000-1578-2fdc-7f7-5fa8-6cfb-b13b.ru.tuna.am/webhook
2026-01-17 at 22:27:38 | INFO | Бот остановлен...
2026-01-17 at 22:27:46 | INFO | Бот запущен
2026-01-17 at 22:27:47 | INFO | Бот успешно запущен
2026-01-17 at 22:27:47 | SUCCESS | Вебхук установлен: https://f695f7-2a03-d000-1578-2fdc-7f7-5fa8-6cfb-b13b.ru.tuna.am/webhook
2026-01-17 at 22:33:58 | INFO | Получен запрос с вебхука
2026-01-17 at 22:33:58 | ERROR | Ошибка при обработке обновления с вебхука: Expecting value: line 1 column 1 (char 0)
2026-01-17 at 22:35:48 | INFO | Бот остановлен...
2026-01-17 at 22:38:11 | INFO | Бот запущен
2026-01-17 at 22:38:12 | INFO | Бот успешно запущен
2026-01-17 at 22:38:13 | SUCCESS | Вебхук установлен: https://pkt1fs-2a03-d000-1578-2fdc-7f7-5fa8-6cfb-b13b.ru.tuna.am/webhook
2026-01-17 at 22:38:40 | INFO | Получен запрос с вебхука
2026-01-17 at 22:38:40 | INFO | Запись User с ID 811370822 не найдена.
2026-01-17 at 22:38:40 | ERROR | Ошибка при обработке обновления с вебхука: 'UserDAO' object has no attribute 'add'
2026-01-17 at 22:39:10 | INFO | Получен запрос с вебхука
2026-01-17 at 22:39:10 | INFO | Запись User с ID 811370822 не найдена.
2026-01-17 at 22:39:10 | ERROR | Ошибка при обработке обновления с вебхука: 'UserDAO' object has no attribute 'add'
2026-01-17 at 23:08:12 | INFO | Нет бронирований для обновления статуса.
2026-01-17 at 23:33:38 | INFO | Бот остановлен...
2026-01-18 at 17:53:25 | INFO | Бот запущен
2026-01-18 at 17:54:36 | INFO | Бот запущен
2026-01-18 at 17:54:37 | INFO | Бот успешно запущен
2026-01-18 at 17:54:37 | SUCCESS | Вебхук установлен: https://6n3fuu-176-115-143-70.ru.tuna.am/webhook
2026-01-18 at 18:03:39 | INFO | Бот остановлен...
2026-01-18 at 18:04:37 | INFO | Бот запущен
2026-01-18 at 18:04:42 | INFO | Бот успешно запущен
2026-01-18 at 18:04:42 | SUCCESS | Вебхук установлен: https://6n3fuu-176-115-143-70.ru.tuna.am/webhook
2026-01-18 at 18:07:24 | INFO | Бот остановлен...
2026-01-18 at 18:08:50 | INFO | Бот запущен
2026-01-18 at 18:08:53 | INFO | Бот успешно запущен
2026-01-18 at 18:08:53 | SUCCESS | Вебхук установлен: https://6n3fuu-176-115-143-70.ru.tuna.am/webhook
2026-01-18 at 18:09:14 | INFO | Получен запрос с вебхука
2026-01-18 at 18:09:14 | ERROR | Ошибка при обработке обновления с вебхука: Expecting value: line 1 column 1 (char 0)
2026-01-18 at 18:12:58 | INFO | Бот остановлен...
2026-01-18 at 18:13:11 | INFO | Бот запущен
2026-01-18 at 18:13:13 | INFO | Бот успешно запущен
2026-01-18 at 18:13:13 | SUCCESS | Вебхук установлен: https://6n3fuu-176-115-143-70.ru.tuna.am/webhook
2026-01-18 at 18:18:23 | INFO | Бот остановлен...
2026-01-18 at 18:18:36 | INFO | Бот запущен
2026-01-18 at 18:20:03 | INFO | Бот запущен
2026-01-18 at 18:20:08 | INFO | Бот успешно запущен
2026-01-18 at 18:20:08 | SUCCESS | Вебхук установлен: https://6n3fuu-176-115-143-70.ru.tuna.am/webhook
2026-01-18 at 18:28:24 | INFO | Получен запрос с вебхука.
